Case Type,Filing Date,Registration Date,CNR Number,First Hearing Date,Decision Date,Case Status,Nature of Disposal,Under Act,Under Section
25,26/08/2023,11/19/2023,MHPU010064392023,11/04/2024,21/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
26,14/11/2023,12/12/2023,MHPU010170062023,25/08/2024,24/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
27,29/07/2023,7/1/2023,MHPU010060312023,14/03/2024,05/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,140
28,26/11/2023,12/10/2023,MHPU010043232023,12/06/2023,25/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
29,09/07/2023,1/26/2023,MHPU010155972023,08/04/2023,02/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
30,13/04/2023,4/26/2023,MHPU010043232023,09/06/2023,02/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
31,15/01/2023,8/6/2023,MHPU010064392023,01/12/2023,04/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
32,20/08/2023,5/3/2023,MHPU010176002023,12/05/2024,20/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
33,23/10/2023,6/17/2023,MHPU010074592023,06/08/2023,06/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
34,19/07/2023,1/5/2023,MHPU010074592023,10/06/2024,22/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
35,01/05/2023,10/8/2023,MHPU010112742023,01/06/2024,12/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
36,18/04/2023,6/7/2023,MHPU010074592023,20/08/2024,22/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
37,25/05/2023,2/15/2023,MHPU010135842023,13/06/2024,06/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
38,24/12/2023,8/4/2023,MHPU010064392023,03/07/2024,07/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
39,09/03/2023,2/5/2023,MHPU010074592023,15/10/2023,05/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
40,21/06/2023,9/7/2023,MHPU010000532023,31/10/2023,02/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
41,25/02/2023,7/28/2023,MHPU010063022023,01/02/2023,21/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
42,12/02/2023,12/25/2023,MHPU010135842023,14/06/2024,25/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
43,31/05/2023,5/17/2023,MHPU010176002023,05/04/2024,10/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
44,13/06/2023,4/17/2023,MHPU010112742023,27/12/2023,20/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
45,30/01/2023,6/20/2023,MHPU010170062023,24/01/2024,18/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
46,29/04/2023,12/12/2023,MHPU010258492022,16/03/2023,23/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
47,05/11/2023,10/6/2023,MHPU010176002023,06/05/2023,27/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
48,13/02/2023,10/26/2023,MHPU010086342023,04/06/2024,21/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,o21
49,23/10/2023,4/9/2023,MHPU010170062023,20/03/2023,24/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
50,04/09/2023,1/22/2023,MHPU010155972023,25/01/2023,20/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,151 dar
51,27/08/2023,6/14/2023,MHPU010101462023,27/07/2024,11/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
52,02/10/2023,5/13/2023,MHPU010074592023,10/08/2023,18/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
53,25/06/2023,4/29/2023,MHPU010135842023,24/03/2023,18/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
54,05/11/2023,4/20/2023,MHPU010000532023,10/04/2024,05/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
55,16/11/2023,2/27/2023,MHPU010258492022,20/05/2024,17/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
56,06/10/2023,10/11/2023,MHPU010000532023,15/09/2024,28/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
57,28/03/2023,3/25/2023,MHPU010060312023,08/05/2024,26/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
58,19/02/2023,4/27/2023,MHPU010063022023,09/11/2023,23/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,o21
59,11/05/2023,10/28/2023,MHPU010176002023,06/07/2023,05/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
60,24/12/2023,9/6/2023,MHPU010101462023,27/08/2024,28/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
61,15/05/2023,12/12/2023,MHPU010112742023,21/03/2024,04/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
62,05/11/2023,1/28/2023,MHPU010074592023,14/07/2023,11/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
63,30/01/2023,2/25/2023,MHPU010063022023,27/03/2024,22/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,o21
64,21/08/2023,2/7/2023,MHPU010112742023,26/05/2023,30/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,140
65,16/08/2023,1/27/2023,MHPU010000532023,08/07/2023,24/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
66,06/02/2023,12/24/2023,MHPU010063022023,25/01/2023,16/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
67,14/01/2023,4/30/2023,MHPU010135842023,08/02/2023,02/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
68,17/05/2023,5/8/2023,MHPU010043232023,24/05/2024,19/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
69,01/05/2023,5/27/2023,MHPU010060312023,30/04/2023,28/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,151 dar
70,21/05/2023,1/28/2023,MHPU010000532023,03/05/2024,24/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,40
71,31/03/2023,6/13/2023,MHPU010112742023,29/04/2023,27/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
72,30/08/2023,7/15/2023,MHPU010064392023,19/09/2023,11/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,40
73,19/09/2023,10/30/2023,MHPU010064392023,06/04/2023,20/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
74,12/08/2023,6/14/2023,MHPU010060312023,23/08/2024,07/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,40
75,07/09/2023,8/25/2023,MHPU010086342023,16/08/2023,23/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
76,09/07/2023,10/23/2023,MHPU010170062023,11/04/2023,21/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
77,26/01/2023,5/17/2023,MHPU010043232023,11/03/2023,14/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
78,12/09/2023,4/24/2023,MHPU010064392023,29/02/2024,24/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
79,12/07/2023,1/16/2023,MHPU010155972023,31/03/2024,05/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
80,15/08/2023,3/26/2023,MHPU010074592023,18/02/2024,29/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
81,30/08/2023,11/11/2023,MHPU010043232023,21/03/2024,08/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
82,27/04/2023,8/16/2023,MHPU010135842023,14/11/2023,05/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
83,14/07/2023,8/7/2023,MHPU010112742023,22/08/2024,21/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
84,07/03/2023,12/29/2023,MHPU010060312023,18/09/2023,21/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
85,18/09/2023,4/30/2023,MHPU010000532023,30/03/2024,20/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
86,15/12/2023,6/10/2023,MHPU010155972023,20/07/2023,18/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
87,25/01/2023,7/10/2023,MHPU010170062023,09/02/2024,06/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,40
88,23/03/2023,2/24/2023,MHPU010086342023,12/07/2023,05/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
89,09/04/2023,11/2/2023,MHPU010101462023,05/06/2024,27/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
90,09/05/2023,1/29/2023,MHPU010112742023,21/07/2024,09/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,151 dar
91,02/03/2023,8/11/2023,MHPU010176002023,07/05/2023,18/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
92,30/09/2023,7/17/2023,MHPU010101462023,01/03/2024,17/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
93,03/07/2023,5/8/2023,MHPU010135842023,15/11/2023,26/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
94,02/10/2023,6/29/2023,MHPU010176002023,30/03/2023,28/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
95,30/05/2023,4/14/2023,MHPU010060312023,08/04/2023,18/10/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,151 dar
96,02/02/2023,1/13/2023,MHPU010064392023,25/01/2024,09/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
97,09/06/2023,11/24/2023,MHPU010060312023,05/05/2023,26/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
98,20/03/2023,1/30/2023,MHPU010112742023,30/03/2023,16/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
99,16/02/2023,10/31/2023,MHPU010258492022,03/02/2024,13/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
100,29/01/2023,6/24/2023,MHPU010086342023,20/06/2023,06/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,166
101,06/09/2023,9/24/2023,MHPU010112742023,01/05/2024,09/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
102,20/04/2023,5/14/2023,MHPU010063022023,19/01/2024,30/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
103,25/06/2023,11/20/2023,MHPU010043232023,27/08/2024,17/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,140
104,19/10/2023,6/8/2023,MHPU010064392023,12/03/2024,16/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
105,25/10/2023,2/20/2023,MHPU010170062023,25/03/2024,18/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
106,08/07/2023,1/4/2023,MHPU010170062023,16/04/2024,08/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,o21
107,25/07/2023,4/21/2023,MHPU010060312023,26/06/2023,30/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
108,30/12/2023,5/13/2023,MHPU010074592023,12/02/2024,04/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,o21
109,29/09/2023,9/22/2023,MHPU010170062023,31/12/2023,08/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
110,16/03/2023,4/13/2023,MHPU010170062023,30/01/2024,05/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,40
111,28/07/2023,4/28/2023,MHPU010064392023,24/11/2023,17/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
112,22/07/2023,3/27/2023,MHPU010176002023,18/01/2024,13/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,40
113,15/01/2023,12/18/2023,MHPU010063022023,06/03/2024,22/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,40
114,17/02/2023,7/3/2023,MHPU010170062023,07/07/2024,06/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
115,07/03/2023,12/13/2023,MHPU010112742023,27/02/2024,03/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,o21
116,04/10/2023,11/16/2023,MHPU010064392023,14/06/2023,25/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
117,23/06/2023,4/1/2023,MHPU010086342023,17/09/2023,02/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
118,07/02/2023,1/19/2023,MHPU010176002023,06/04/2023,10/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
119,17/03/2023,9/4/2023,MHPU010074592023,29/03/2023,25/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
120,08/12/2023,3/18/2023,MHPU010063022023,11/02/2024,08/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
121,05/01/2023,7/25/2023,MHPU010060312023,16/09/2023,05/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
122,21/08/2023,10/25/2023,MHPU010074592023,23/04/2023,12/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
123,25/09/2023,11/19/2023,MHPU010101462023,05/02/2023,13/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
124,26/05/2023,12/2/2023,MHPU010112742023,20/03/2024,01/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
125,03/12/2023,3/2/2023,MHPU010155972023,14/04/2024,24/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
126,17/10/2023,7/27/2023,MHPU010086342023,01/02/2024,14/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
127,05/01/2023,2/21/2023,MHPU010043232023,25/05/2024,19/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,166
128,02/07/2023,8/19/2023,MHPU010170062023,12/03/2023,12/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
129,03/05/2023,9/5/2023,MHPU010074592023,27/04/2024,01/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
130,21/08/2023,10/14/2023,MHPU010043232023,12/05/2023,29/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
131,21/08/2023,10/9/2023,MHPU010060312023,05/09/2024,24/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
132,10/10/2023,11/21/2023,MHPU010155972023,28/02/2023,23/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,151 dar
133,01/04/2023,10/21/2023,MHPU010086342023,17/07/2023,24/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
134,02/03/2023,4/21/2023,MHPU010112742023,21/11/2023,16/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
135,20/01/2023,10/22/2023,MHPU010086342023,24/12/2023,19/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
136,07/08/2023,8/26/2023,MHPU010135842023,23/12/2023,08/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
137,25/02/2023,6/4/2023,MHPU010064392023,16/04/2024,21/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,151 dar
138,27/01/2023,2/10/2023,MHPU010112742023,17/04/2024,18/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
139,10/08/2023,1/14/2023,MHPU010170062023,19/03/2023,15/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,151 dar
140,26/01/2023,10/23/2023,MHPU010101462023,02/05/2024,29/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
141,14/07/2023,12/16/2023,MHPU010086342023,01/11/2023,19/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
142,17/05/2023,6/18/2023,MHPU010074592023,14/12/2023,16/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,151 dar
143,15/04/2023,3/27/2023,MHPU010064392023,08/01/2023,13/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
144,29/06/2023,3/6/2023,MHPU010063022023,17/06/2024,26/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
145,08/06/2023,3/25/2023,MHPU010074592023,25/05/2024,25/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
146,03/12/2023,8/10/2023,MHPU010112742023,04/03/2023,22/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
147,19/06/2023,12/21/2023,MHPU010063022023,31/01/2023,14/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
148,17/01/2023,1/6/2023,MHPU010112742023,02/10/2023,11/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
149,28/03/2023,11/19/2023,MHPU010060312023,24/11/2023,17/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,o21
150,25/12/2023,12/27/2023,MHPU010000532023,19/01/2024,29/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
151,13/01/2023,5/26/2023,MHPU010155972023,05/05/2023,09/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,140
152,04/01/2023,11/5/2023,MHPU010074592023,23/06/2023,27/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,151 dar
153,26/11/2023,2/12/2023,MHPU010043232023,03/09/2023,16/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
154,26/02/2023,5/15/2023,MHPU010112742023,27/01/2023,30/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,151 dar
